TClass TClassName ParentTClass ParentName CreateObject CreateObjectInPlace InitializeStatic DeinitializeStatic Version Size Alignment
01257EC4 APropPlatform 012575F4 AProp 01033F10 01033F80 01033FE0 01033FF0 0 496 4
01257F34 APropSwitch 012575F4 AProp 0103A6C0 0103A750 0103A7D0 0103A7E0 65536 184 4
01257F68 APropTrigger 01258BAC AInvisibleEntity 0103A930 0103A9A0 0103AA00 0103AA10 65536 192 4
01257FA4 APropTriggerVO 01257F68 APropTrigger 0103BFD0 0103C050 0103C0D0 0103C0E0 65536 196 4
01257FDC APropTriggerHudMessage 01257238 APropTriggerHelp 0103C290 0103C320 0103C3A0 0103C3B0 65536 212 4
01258010 APropTriggerTimeBonus 012589E0 APickup 0103C5F0 0103C690 0103C730 0103C740 65536 612 4
01258048 APropTriggerInstantDeath 01257F68 APropTrigger 0103CAA0 0103CB20 0103CBA0 0103CBB0 65536 192 4
01258080 APropTriggerEnemyDeath 01257F68 APropTrigger 0103CD10 0103CD90 0103CE10 0103CE20 65536 192 4
012580BC APropSwitchPressure 012575F4 AProp 0103CF20 0103CF90 0103CFF0 0103D000 65536 752 4
01258124 APropWater 012575F4 AProp 0103F510 0103F580 0103F5E0 0103F5F0 65536 356 4
01258158 APropTriggerRespawn 01257F68 APropTrigger 010418D0 01041940 010419A0 010419B0 65536 236 4
0125818C APropFX 01258BAC AInvisibleEntity 01041D50 01041DF0 01041E80 01041E90 65536 372 4
012581BC APropSkyTransition 01257100 ABaseEntity 010422C0 01042340 010423B0 010423C0 65536 128 4
012581F0 APropWindZone 01257F68 APropTrigger 01042480 010424F0 01042550 01042560 65536 272 4
01258248 ASquad 01257100 ABaseEntity 01043760 010437D0 01043830 01043840 0 200 4
012582A4 AGodRay 01257100 ABaseEntity 01044A50 01044B00 01044BA0 01044BB0 0 136 4
012582DC ABossTrigger 01257100 ABaseEntity 01045330 010453A0 01045400 01045410 65536 152 4
0125831C ATriggerCell 01257100 ABaseEntity 01046240 010462F0 010463A0 010463B0 65536 140 4
0125835C AEnemy 01258C08 ACharEntity 01046840 01046850 01046860 01046870 65536 236 1
012583BC ABigPaintBot 01258AEC AVisibleEntity 01048C50 01048CC0 01048D20 01048D30 65536 164 4
01258404 ASoundAction 01257100 ABaseEntity 01049990 01049A20 01049AB0 01049AC0 65536 132 4
01258440 AInky_Pen 01259148 AEnemyMelee 01049E60 01049ED0 01049F30 01049F40 65536 240 4
01258490 AInky_Baton 01259148 AEnemyMelee 0104ABA0 0104AC10 0104AC70 0104AC80 65536 240 4
012584D4 AInky_Baton_Elite 01258490 AInky_Baton 0104B420 0104B4A0 0104B510 0104B520 65536 240 4
0125850C ACritter 01258AEC AVisibleEntity 0104B6F0 0104B790 0104B830 0104B840 65536 164 4
01258558 AInkJet 01257EC4 APropPlatform 0104C070 0104C0E0 0104C140 0104C150 65536 520 4
012585A4 AInkJetSpawner 01258AEC AVisibleEntity 0104E080 0104E110 0104E190 0104E1A0 65536 164 4
012585DC ARevolutionaryCombat 01257738 ARevolutionary 0104E550 0104E5D0 0104E650 0104E660 65536 176 4
0125860C ARevolutionaryRace 01257738 ARevolutionary 0104E6E0 0104E760 0104E7E0 0104E7F0 65536 176 4
0125863C ARevolutionaryLandmark 01257738 ARevolutionary 0104E870 0104E8F0 0104E970 0104E980 65536 176 4
01258678 AJetbikeSpawner 01258AEC AVisibleEntity 0104EA00 0104EA70 0104EAD0 0104EAE0 65536 184 4
012586BC APickupPowerUp 012589E0 APickup 0104F840 0104F8E0 0104F980 0104F990 65536 356 4
012586F8 APickupPattern 012589E0 APickup 0104FC10 0104FCB0 0104FD40 0104FD50 65536 352 4
01258734 APickupBonus 012589E0 APickup 01050050 010500F0 01050180 01050190 65536 352 4
01258778 APickupStencil 012589E0 APickup 01050530 010505D0 01050660 01050670 65536 352 4
012587B4 APickupLife 012589E0 APickup 010508A0 01050940 010509D0 010509E0 65536 360 4
012587E8 APickupEnergy 012589E0 APickup 01050CC0 01050D60 01050DF0 01050E00 65536 352 4
01258824 APropHazard 012575F4 AProp 01050FD0 01051040 010510A0 010510B0 65536 212 4
01258888 AContainerHazard 01257100 ABaseEntity 01055BD0 01055C80 01055D30 01055D40 65536 148 4
012588B8 AIdleEntity 01258AEC AVisibleEntity 010560D0 01056160 010561E0 010561F0 65536 160 4
01258958 AEnemyGrappler 0125835C AEnemy 01056540 01056550 01056560 01056570 65536 284 1
012589E0 APickup 01257100 ABaseEntity 01058980 01058990 010589A0 010589B0 65536 348 1
01258A98 APropWindCannon 012575F4 AProp 01060A60 01060AD0 01060B30 01060B40 65536 288 4
01258AEC AVisibleEntity 01257100 ABaseEntity 01062C90 01062CA0 01062CB0 01062CC0 0 156 1
01258BAC AInvisibleEntity 01257100 ABaseEntity 01066830 01066840 01066850 01066860 0 132 1
01258C08 ACharEntity 01258AEC AVisibleEntity 01066BB0 01066BC0 01066BD0 01066BE0 65536 188 1
01258F4C APropFXSurface 01258BAC AInvisibleEntity 0107DC90 0107DD00 0107DD60 0107DD70 65536 5744 4
01259110 APickupSolid 012589E0 APickup 010848A0 010848B0 010848C0 010848D0 65536 364 1
01259148 AEnemyMelee 0125835C AEnemy 01085010 01085020 01085030 01085040 65536 236 1
01259210 AAIBaseSchedules 0122138C TObject 0108A540 0108A5B0 0108A620 0108A730 65536 4 4
